year,session_id,utt_id,reason,lab_path,lab_bytes,wav_path,wav_exists,analysis_eligible,morph_disposition
2021,SDRW2100004135,SDRW2100004135.1.1.176,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.176.lab,23,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.176.wav,True,True,
2021,SDRW2100004135,SDRW2100004135.1.1.263,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.263.lab,79,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.263.wav,True,True,
2021,SDRW2100004135,SDRW2100004135.1.1.283,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.283.lab,60,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.283.wav,True,False,exclude_source_audio_unusable
2021,SDRW2100004135,SDRW2100004135.1.1.37,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.37.lab,44,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.37.wav,True,True,
2021,SDRW2100004136,SDRW2100004136.1.1.226,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004136\SDRW2100004136.1.1.226.lab,69,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004136\SDRW2100004136.1.1.226.wav,True,True,
2021,SDRW2100004136,SDRW2100004136.1.1.344,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004136\SDRW2100004136.1.1.344.lab,57,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004136\SDRW2100004136.1.1.344.wav,True,True,
2021,SDRW2100004138,SDRW2100004138.1.1.229,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004138\SDRW2100004138.1.1.229.lab,49,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004138\SDRW2100004138.1.1.229.wav,True,True,
2021,SDRW2100004139,SDRW2100004139.1.1.179,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004139\SDRW2100004139.1.1.179.lab,47,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004139\SDRW2100004139.1.1.179.wav,True,True,
2021,SDRW2100004139,SDRW2100004139.1.1.192,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004139\SDRW2100004139.1.1.192.lab,33,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004139\SDRW2100004139.1.1.192.wav,True,True,
2021,SDRW2100004139,SDRW2100004139.1.1.256,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004139\SDRW2100004139.1.1.256.lab,47,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004139\SDRW2100004139.1.1.256.wav,True,True,
